id,user_id,post_id,message,commented_at,created_at,updated_at
20,34,8,"Pardon me for breathing, which I never do anyway so I don't know why I bother to say it, Oh God, I'm so depressed.",2017-11-22 14:33:31.000000,2017-11-21 00:40:16.492174,2017-11-21 00:40:16.492174
21,22,10,Sashay Away,2017-10-09 10:21:20.000000,2017-11-21 00:40:16.507316,2017-11-21 00:40:16.507316
22,2,10,I won't enjoy it.,2017-10-15 12:58:55.000000,2017-11-21 00:40:16.511547,2017-11-21 00:40:16.511547
23,9,10,"No story lives unless someone wants to listen. The stories we love best do live in us forever. So whether you come back by page or by the big screen, Hogwarts will always be there to welcome you home.",2017-10-10 22:42:18.000000,2017-11-21 00:40:16.515245,2017-11-21 00:40:16.515245
24,14,10,I don't wanna talk. I wanna shoot.,2017-10-13 20:41:48.000000,2017-11-21 00:40:16.520406,2017-11-21 00:40:16.520406
25,4,10,Lip-Sync for Your Life,2017-10-12 20:09:43.000000,2017-11-21 00:40:16.524816,2017-11-21 00:40:16.524816
26,29,14,"You think you've got problems? What are you supposed to do if you are a manically depressed robot? No, don't try to answer that. I'm fifty thousand times more intelligent than you and even I don't know the answer. It gives me a headache just trying to think down to your level.",2017-11-10 12:43:23.000000,2017-11-21 00:40:16.556866,2017-11-21 00:40:16.556866
27,9,15,"It’s wingardium leviOsa, not leviosAH.",2017-11-11 16:12:12.000000,2017-11-21 00:40:16.573930,2017-11-21 00:40:16.573930
28,46,15,How's Annie? How's Annie? How's Annie?,2017-11-13 13:06:30.000000,2017-11-21 00:40:16.578515,2017-11-21 00:40:16.578515
29,22,16,Put The Bass In Your Walk,2017-11-24 10:12:09.000000,2017-11-21 00:40:16.620391,2017-11-21 00:40:16.620391
30,48,17,He was staring at the instruments with the air of one who is trying to convert Fahrenheit to centigrade in his head while his house is burning down.,2017-10-06 04:50:38.000000,2017-11-21 00:40:16.658713,2017-11-21 00:40:16.658713
31,12,17,Life? Don't talk to me about life.,2017-10-06 07:29:11.000000,2017-11-21 00:40:16.664659,2017-11-21 00:40:16.664659
32,30,18,MAY A SMILE BE YOUR UMBRELLA. WE'VE ALL HAD OUR SOCKS TOSSED AROUND.,2017-11-24 20:52:20.000000,2017-11-21 00:40:16.673223,2017-11-21 00:40:16.673223
33,12,18,"In the beginning, the Universe was created. This has made a lot of people very angry and been widely regarded as a bad move.",2017-11-25 01:42:56.000000,2017-11-21 00:40:16.677741,2017-11-21 00:40:16.677741
34,5,18,"COOPER, YOU REMIND ME TODAY OF A SMALL MEXICAN CHIHUAHUA.",2017-11-24 10:02:16.000000,2017-11-21 00:40:16.681761,2017-11-21 00:40:16.681761
35,7,20,"You're a wizard, Harry.",2017-10-03 19:10:23.000000,2017-11-21 00:40:16.743535,2017-11-21 00:40:16.743535
36,47,20,"That's Funny, Tell Another One",2017-10-01 20:38:39.000000,2017-11-21 00:40:16.765090,2017-11-21 00:40:16.765090
37,11,20,"If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.",2017-10-04 02:58:14.000000,2017-11-21 00:40:16.786761,2017-11-21 00:40:16.786761
38,27,22,"To the well-organized mind, death is but the next great adventure.",2017-10-07 21:12:20.000000,2017-11-21 00:40:16.834572,2017-11-21 00:40:16.834572
39,17,22,"In the beginning, the Universe was created. This has made a lot of people very angry and been widely regarded as a bad move.",2017-10-08 12:42:32.000000,2017-11-21 00:40:16.861859,2017-11-21 00:40:16.861859
40,26,24,After all this time? Always.,2017-09-24 15:22:57.000000,2017-11-21 00:40:16.913504,2017-11-21 00:40:16.913504
41,39,24,Life Is About Using The Whole Box Of Crayons,2017-09-29 08:05:53.000000,2017-11-21 00:40:16.946530,2017-11-21 00:40:16.946530
42,45,24,Bring Back My Girls,2017-09-25 13:11:58.000000,2017-11-21 00:40:16.953256,2017-11-21 00:40:16.953256
43,10,25,"Windom Earle's mind is like a diamond. It's cold, and hard, and brilliant.",2017-11-14 22:34:07.000000,2017-11-21 00:40:16.961727,2017-11-21 00:40:16.961727
44,3,26,"Here I am, brain the size of a planet, and they tell me to take you up to the bridge. Call that job satisfaction? 'Cos I don't.",2017-10-21 14:10:59.000000,2017-11-21 00:40:16.971675,2017-11-21 00:40:16.971675
45,28,26,there’s an infinite number of monkeys outside who want to talk to us about this script for Hamlet they’ve worked out.,2017-10-22 01:20:48.000000,2017-11-21 00:40:16.975287,2017-11-21 00:40:16.975287
46,50,27,After all this time? Always.,2017-09-27 17:43:47.000000,2017-11-21 00:40:16.984179,2017-11-21 00:40:16.984179
47,22,27,Bring Back My Girls,2017-09-24 19:45:52.000000,2017-11-21 00:40:16.989099,2017-11-21 00:40:16.989099
48,26,27,"To the well-organized mind, death is but the next great adventure.",2017-09-27 03:53:27.000000,2017-11-21 00:40:16.993547,2017-11-21 00:40:16.993547
49,40,27,"When The Going Gets Tough, The Tough Reinvent",2017-09-29 04:41:55.000000,2017-11-21 00:40:16.997639,2017-11-21 00:40:16.997639
50,21,27,"COOPER, YOU REMIND ME TODAY OF A SMALL MEXICAN CHIHUAHUA.",2017-09-27 04:24:30.000000,2017-11-21 00:40:17.001429,2017-11-21 00:40:17.001429
51,50,28,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",2017-11-23 12:09:33.000000,2017-11-21 00:40:17.010044,2017-11-21 00:40:17.010044
52,22,28,"Shante, You Stay",2017-11-22 10:19:33.000000,2017-11-21 00:40:17.014411,2017-11-21 00:40:17.014411
53,49,29,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",2017-10-17 00:07:04.000000,2017-11-21 00:40:17.024865,2017-11-21 00:40:17.024865
54,32,29,"You're Born Naked, The Rest Is Drag",2017-10-13 11:54:36.000000,2017-11-21 00:40:17.029815,2017-11-21 00:40:17.029815
790,39,316,"Shante, You Stay",2017-11-07 11:27:06.000000,2017-11-21 00:40:21.891833,2017-11-21 00:40:21.891833
55,14,29,YOU ARE WITNESSING A FRONT THREE-QUARTER VIEW OF TWO ADULTS SHARING A TENDER MOMENT,2017-10-18 09:59:25.000000,2017-11-21 00:40:17.034745,2017-11-21 00:40:17.034745
56,8,30,Glamazon!,2017-10-28 10:25:21.000000,2017-11-21 00:40:17.045040,2017-11-21 00:40:17.045040
57,26,31,It does not do to dwell on dreams and forget to live.,2017-09-29 03:18:12.000000,2017-11-21 00:40:17.055734,2017-11-21 00:40:17.055734
58,28,31,"On the planet Earth, man had always assumed that he was more intelligent than dolphins because he had achieved so much—the wheel, New York, wars and so on—whilst all the dolphins had ever done was muck about in the water having a good time. But conversely, the dolphins had always believed that they were far more intelligent than man—for precisely the same reasons.",2017-09-30 12:19:13.000000,2017-11-21 00:40:17.060295,2017-11-21 00:40:17.060295
59,35,32,Life? Don't talk to me about life.,2017-11-05 01:22:21.000000,2017-11-21 00:40:17.069762,2017-11-21 00:40:17.069762
60,16,32,Don’t Panic,2017-11-06 07:00:15.000000,2017-11-21 00:40:17.073793,2017-11-21 00:40:17.073793
61,33,33,There's only one life-form as intelligent as me within thirty parsecs of here and that's me.,2017-10-15 04:20:05.000000,2017-11-21 00:40:17.083839,2017-11-21 00:40:17.083839
62,20,33,I have no idea where this will lead us. But I have a definite feeling it will be a place both wonderful and strange.,2017-10-16 12:01:00.000000,2017-11-21 00:40:17.088803,2017-11-21 00:40:17.088803
63,24,34,J'ai une âme solitaire.,2017-10-19 14:28:00.000000,2017-11-21 00:40:17.098211,2017-11-21 00:40:17.098211
64,3,34,And then of course I've got this terrible pain in all the diodes down my left side.,2017-10-18 23:59:54.000000,2017-11-21 00:40:17.102641,2017-11-21 00:40:17.102641
65,10,34,Damn fine coffee! And hot!,2017-10-18 04:20:20.000000,2017-11-21 00:40:17.106996,2017-11-21 00:40:17.106996
66,33,34,"If there's anything more important than my ego around, I want it caught and shot now.",2017-10-17 17:33:20.000000,2017-11-21 00:40:17.111105,2017-11-21 00:40:17.111105
67,32,35,Don't Be Jealous Of My Boogie,2017-11-06 03:48:46.000000,2017-11-21 00:40:17.119790,2017-11-21 00:40:17.119790
68,50,35,After all this time? Always.,2017-11-06 12:17:43.000000,2017-11-21 00:40:17.123716,2017-11-21 00:40:17.123716
69,30,35,Pie. Whoever invented the pie? Here was a great person.,2017-11-07 14:28:30.000000,2017-11-21 00:40:17.128089,2017-11-21 00:40:17.128089
70,8,35,Don't Be Jealous Of My Boogie,2017-11-09 02:35:17.000000,2017-11-21 00:40:17.132306,2017-11-21 00:40:17.132306
71,31,36,And then of course I've got this terrible pain in all the diodes down my left side.,2017-11-01 23:27:56.000000,2017-11-21 00:40:17.143400,2017-11-21 00:40:17.143400
72,37,36,It does not do to dwell on dreams and forget to live.,2017-11-03 10:54:47.000000,2017-11-21 00:40:17.147819,2017-11-21 00:40:17.147819
73,32,36,Hello Hello Hello!,2017-10-30 21:01:17.000000,2017-11-21 00:40:17.152711,2017-11-21 00:40:17.152711
74,43,37,Life? Don't talk to me about life.,2017-10-05 09:54:30.000000,2017-11-21 00:40:17.162836,2017-11-21 00:40:17.162836
75,8,37,"Shante, Shante, Shante",2017-10-05 11:44:37.000000,2017-11-21 00:40:17.167286,2017-11-21 00:40:17.167286
76,13,37,"Things we lose have a way of coming back to us in the end, if not always in the way we expect.",2017-10-03 02:40:23.000000,2017-11-21 00:40:17.172316,2017-11-21 00:40:17.172316
77,19,37,Glamazon!,2017-10-02 16:03:16.000000,2017-11-21 00:40:17.176338,2017-11-21 00:40:17.176338
78,47,38,"Shante, Shante, Shante",2017-11-15 23:58:32.000000,2017-11-21 00:40:17.187106,2017-11-21 00:40:17.187106
79,32,39,Just Between Us Squirrel Friends,2017-10-21 11:45:21.000000,2017-11-21 00:40:17.197272,2017-11-21 00:40:17.197272
80,9,40,I solemnly swear that I am up to no good.,2017-10-15 17:20:08.000000,2017-11-21 00:40:17.206801,2017-11-21 00:40:17.206801
81,44,40,Never trust anything that can think for itself if you can't see where it keeps its brain.,2017-10-15 00:56:39.000000,2017-11-21 00:40:17.210647,2017-11-21 00:40:17.210647
82,43,40,"In the beginning, the Universe was created. This has made a lot of people very angry and been widely regarded as a bad move.",2017-10-10 04:40:15.000000,2017-11-21 00:40:17.214420,2017-11-21 00:40:17.214420
83,42,41,Life? Don't talk to me about life.,2017-10-13 16:23:10.000000,2017-11-21 00:40:17.225935,2017-11-21 00:40:17.225935
84,9,41,"Of course it is happening inside your head, Harry, but why on Earth should that mean that it is not real?",2017-10-09 12:39:03.000000,2017-11-21 00:40:17.230396,2017-11-21 00:40:17.230396
85,15,41,Life Is About Using The Whole Box Of Crayons,2017-10-13 03:51:34.000000,2017-11-21 00:40:17.234800,2017-11-21 00:40:17.234800
86,17,42,And then of course I've got this terrible pain in all the diodes down my left side.,2017-09-29 18:22:56.000000,2017-11-21 00:40:17.243617,2017-11-21 00:40:17.243617
87,43,44,Parts of the inside of her head screamed at other parts of the inside of her head.,2017-10-02 21:45:16.000000,2017-11-21 00:40:17.258894,2017-11-21 00:40:17.258894
88,20,44,Black as midnight on a moonless night.,2017-10-06 23:37:23.000000,2017-11-21 00:40:17.262992,2017-11-21 00:40:17.262992
89,26,44,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",2017-10-02 14:46:42.000000,2017-11-21 00:40:17.268107,2017-11-21 00:40:17.268107
90,5,45,It has been a pleasure speaking to you.,2017-10-01 01:29:41.000000,2017-11-21 00:40:17.279132,2017-11-21 00:40:17.279132
91,6,46,It does not do to dwell on dreams and forget to live.,2017-11-08 15:17:34.000000,2017-11-21 00:40:17.292714,2017-11-21 00:40:17.292714
92,44,46,I solemnly swear that I am up to no good.,2017-11-11 03:20:01.000000,2017-11-21 00:40:17.299316,2017-11-21 00:40:17.299316
93,19,46,Put The Bass In Your Walk,2017-11-05 03:27:57.000000,2017-11-21 00:40:17.304648,2017-11-21 00:40:17.304648
94,21,47,J'ai une âme solitaire.,2017-10-28 00:39:58.000000,2017-11-21 00:40:17.313449,2017-11-21 00:40:17.313449
95,42,47,Life? Don't talk to me about life.,2017-10-30 01:20:50.000000,2017-11-21 00:40:17.317427,2017-11-21 00:40:17.317427
96,13,47,Just because you have the emotional range of a teaspoon doesn’t mean we all have.,2017-10-30 23:45:29.000000,2017-11-21 00:40:17.321243,2017-11-21 00:40:17.321243
97,33,47,"If there's anything more important than my ego around, I want it caught and shot now.",2017-11-01 08:13:20.000000,2017-11-21 00:40:17.325357,2017-11-21 00:40:17.325357
98,46,48,"Every day, once a day, give yourself a present.",2017-09-27 14:14:16.000000,2017-11-21 00:40:17.336121,2017-11-21 00:40:17.336121
99,5,48,YOU ARE WITNESSING A FRONT THREE-QUARTER VIEW OF TWO ADULTS SHARING A TENDER MOMENT,2017-09-30 17:29:58.000000,2017-11-21 00:40:17.341111,2017-11-21 00:40:17.341111
100,44,48,Never trust anything that can think for itself if you can't see where it keeps its brain.,2017-10-04 14:46:19.000000,2017-11-21 00:40:17.345251,2017-11-21 00:40:17.345251
101,43,48,Life? Don't talk to me about life.,2017-10-03 07:50:08.000000,2017-11-21 00:40:17.349380,2017-11-21 00:40:17.349380
102,20,49,"Will this sadness that makes me cry my heart out — will it ever end? The answer, of course, is yes. One day the sadness will end.",2017-10-19 20:16:37.000000,2017-11-21 00:40:17.358395,2017-11-21 00:40:17.358395
103,34,49,He was staring at the instruments with the air of one who is trying to convert Fahrenheit to centigrade in his head while his house is burning down.,2017-10-20 23:40:22.000000,2017-11-21 00:40:17.362405,2017-11-21 00:40:17.362405
104,31,50,"Pardon me for breathing, which I never do anyway so I don't know why I bother to say it, Oh God, I'm so depressed.",2017-10-28 05:09:58.000000,2017-11-21 00:40:17.371534,2017-11-21 00:40:17.371534
105,18,52,I don't wanna talk. I wanna shoot.,2017-10-08 01:27:39.000000,2017-11-21 00:40:17.387183,2017-11-21 00:40:17.387183
106,18,52,MAY A SMILE BE YOUR UMBRELLA. WE'VE ALL HAD OUR SOCKS TOSSED AROUND.,2017-10-09 17:35:56.000000,2017-11-21 00:40:17.391493,2017-11-21 00:40:17.391493
107,27,52,I solemnly swear that I am up to no good.,2017-10-04 08:47:05.000000,2017-11-21 00:40:17.395760,2017-11-21 00:40:17.395760
108,22,53,Let the music play,2017-10-01 14:30:52.000000,2017-11-21 00:40:17.406060,2017-11-21 00:40:17.406060
109,19,55,Get Out Your Library Cards,2017-10-31 20:46:34.000000,2017-11-21 00:40:17.423055,2017-11-21 00:40:17.423055
110,40,55,Silence...I've made my decision,2017-11-03 14:08:31.000000,2017-11-21 00:40:17.427223,2017-11-21 00:40:17.427223
264,9,119,"It’s wingardium leviOsa, not leviosAH.",2017-10-31 03:37:18.000000,2017-11-21 00:40:18.549896,2017-11-21 00:40:18.549896
111,13,55,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",2017-10-29 00:57:48.000000,2017-11-21 00:40:17.431423,2017-11-21 00:40:17.431423
112,15,55,Get Out Your Library Cards,2017-10-31 12:25:32.000000,2017-11-21 00:40:17.435793,2017-11-21 00:40:17.435793
113,4,56,Lip-Sync for Your Life,2017-10-14 13:41:27.000000,2017-11-21 00:40:17.445538,2017-11-21 00:40:17.445538
114,50,57,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",2017-11-11 17:07:37.000000,2017-11-21 00:40:17.455534,2017-11-21 00:40:17.455534
115,38,57,"Shante, Shante, Shante",2017-11-11 03:33:13.000000,2017-11-21 00:40:17.459780,2017-11-21 00:40:17.459780
116,2,57,"It seemed to me that any civilization that had so far lost its head as to need to include a set of detailed instructions for use in a packet of toothpicks, was no longer a civilization in which I could live and stay sane.",2017-11-17 01:54:56.000000,2017-11-21 00:40:17.463614,2017-11-21 00:40:17.463614
117,7,57,It does not do to dwell on dreams and forget to live.,2017-11-13 01:42:22.000000,2017-11-21 00:40:17.467411,2017-11-21 00:40:17.467411
118,49,57,"If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.",2017-11-13 16:49:59.000000,2017-11-21 00:40:17.471270,2017-11-21 00:40:17.471270
119,11,58,"Of course it is happening inside your head, Harry, but why on Earth should that mean that it is not real?",2017-11-11 22:05:16.000000,2017-11-21 00:40:17.479853,2017-11-21 00:40:17.479853
120,6,58,"If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.",2017-11-06 14:55:10.000000,2017-11-21 00:40:17.485021,2017-11-21 00:40:17.485021
121,5,58,"Wow, Bob, wow.",2017-11-09 18:57:44.000000,2017-11-21 00:40:17.489629,2017-11-21 00:40:17.489629
122,14,58,There was a fish in the percolator!,2017-11-05 03:36:23.000000,2017-11-21 00:40:17.494066,2017-11-21 00:40:17.494066
123,40,58,Sissy That Walk,2017-11-09 00:40:32.000000,2017-11-21 00:40:17.498270,2017-11-21 00:40:17.498270
124,42,60,there’s an infinite number of monkeys outside who want to talk to us about this script for Hamlet they’ve worked out.,2017-10-01 14:20:26.000000,2017-11-21 00:40:17.517063,2017-11-21 00:40:17.517063
125,49,60,You sort of start thinking anything’s possible if you’ve got enough nerve.,2017-10-03 19:14:58.000000,2017-11-21 00:40:17.521711,2017-11-21 00:40:17.521711
126,8,60,Bring Back My Girls,2017-10-03 13:05:33.000000,2017-11-21 00:40:17.525731,2017-11-21 00:40:17.525731
127,46,61,Do you want to know what the ultimate secret is? Laura did. The secret of knowing who killed you.,2017-11-13 10:11:34.000000,2017-11-21 00:40:17.535590,2017-11-21 00:40:17.535590
128,45,62,Sashay Away,2017-10-22 22:24:29.000000,2017-11-21 00:40:17.545662,2017-11-21 00:40:17.545662
129,23,62,Just Between Us Squirrel Friends,2017-10-21 00:36:26.000000,2017-11-21 00:40:17.550041,2017-11-21 00:40:17.550041
130,39,62,Lip-Sync for Your Life,2017-10-24 18:46:53.000000,2017-11-21 00:40:17.555198,2017-11-21 00:40:17.555198
131,12,62,There's only one life-form as intelligent as me within thirty parsecs of here and that's me.,2017-10-23 21:17:51.000000,2017-11-21 00:40:17.559071,2017-11-21 00:40:17.559071
132,33,63,Parts of the inside of her head screamed at other parts of the inside of her head.,2017-11-23 09:01:17.000000,2017-11-21 00:40:17.567401,2017-11-21 00:40:17.567401
133,38,63,Don't Be Jealous Of My Boogie,2017-11-28 03:01:26.000000,2017-11-21 00:40:17.571356,2017-11-21 00:40:17.571356
134,12,64,"It seemed to me that any civilization that had so far lost its head as to need to include a set of detailed instructions for use in a packet of toothpicks, was no longer a civilization in which I could live and stay sane.",2017-10-31 07:59:40.000000,2017-11-21 00:40:17.579780,2017-11-21 00:40:17.579780
135,33,65,"Pardon me for breathing, which I never do anyway so I don't know why I bother to say it, Oh God, I'm so depressed.",2017-09-30 00:16:38.000000,2017-11-21 00:40:17.589819,2017-11-21 00:40:17.589819
136,20,66,"Through the darkness of future's past, the magician longs to see. One chants out between two worlds... ""Fire... walk with me.""",2017-09-30 19:51:22.000000,2017-11-21 00:40:17.598947,2017-11-21 00:40:17.598947
137,40,66,"When The Going Gets Tough, The Tough Reinvent",2017-09-24 15:36:26.000000,2017-11-21 00:40:17.603490,2017-11-21 00:40:17.603490
138,41,66,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",2017-09-28 07:44:39.000000,2017-11-21 00:40:17.607657,2017-11-21 00:40:17.607657
139,3,67,"But Mr. Dent, the plans have been available in the local planning office for the last nine months.",2017-10-02 09:14:28.000000,2017-11-21 00:40:17.616422,2017-11-21 00:40:17.616422
140,46,67,"Wow, Bob, wow.",2017-10-03 23:53:18.000000,2017-11-21 00:40:17.621354,2017-11-21 00:40:17.621354
141,1,67,MAY A SMILE BE YOUR UMBRELLA. WE'VE ALL HAD OUR SOCKS TOSSED AROUND.,2017-09-30 11:45:24.000000,2017-11-21 00:40:17.625275,2017-11-21 00:40:17.625275
142,19,67,Glamazon!,2017-10-03 06:10:40.000000,2017-11-21 00:40:17.629040,2017-11-21 00:40:17.629040
143,14,67,It has been a pleasure speaking to you.,2017-09-28 04:47:56.000000,2017-11-21 00:40:17.633466,2017-11-21 00:40:17.633466
144,9,68,"Of course it is happening inside your head, Harry, but why on Earth should that mean that it is not real?",2017-11-15 16:08:32.000000,2017-11-21 00:40:17.643696,2017-11-21 00:40:17.643696
145,47,68,Put The Bass In Your Walk,2017-11-12 23:28:14.000000,2017-11-21 00:40:17.647669,2017-11-21 00:40:17.647669
146,45,68,Silence...I've made my decision,2017-11-15 14:44:32.000000,2017-11-21 00:40:17.674596,2017-11-21 00:40:17.674596
147,35,69,Earth: Mostly Harmless,2017-10-30 05:00:47.000000,2017-11-21 00:40:17.704703,2017-11-21 00:40:17.704703
148,11,69,We’ve all got both light and dark inside us. What matters is the part we choose to act on. That’s who we really are.,2017-10-27 15:47:33.000000,2017-11-21 00:40:17.710448,2017-11-21 00:40:17.710448
149,3,70,there’s an infinite number of monkeys outside who want to talk to us about this script for Hamlet they’ve worked out.,2017-11-02 16:34:30.000000,2017-11-21 00:40:17.724559,2017-11-21 00:40:17.724559
150,17,70,"Magrathea itself disappeared and its memory soon passed into the obscurity of legend. In these enlightened days, of course, no one believes a word of it.",2017-11-01 06:03:04.000000,2017-11-21 00:40:17.730862,2017-11-21 00:40:17.730862
151,34,70,He was staring at the instruments with the air of one who is trying to convert Fahrenheit to centigrade in his head while his house is burning down.,2017-10-30 16:14:59.000000,2017-11-21 00:40:17.737650,2017-11-21 00:40:17.737650
152,16,71,"Magrathea itself disappeared and its memory soon passed into the obscurity of legend. In these enlightened days, of course, no one believes a word of it.",2017-11-24 07:25:21.000000,2017-11-21 00:40:17.747631,2017-11-21 00:40:17.747631
153,27,71,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",2017-11-22 06:36:07.000000,2017-11-21 00:40:17.752442,2017-11-21 00:40:17.752442
154,25,72,"It is our choices, Harry, that show what we truly are, far more than our abilities.",2017-11-14 17:35:01.000000,2017-11-21 00:40:17.761574,2017-11-21 00:40:17.761574
155,5,72,There was a fish in the percolator!,2017-11-20 05:09:29.000000,2017-11-21 00:40:17.765511,2017-11-21 00:40:17.765511
156,47,72,Hello Hello Hello!,2017-11-20 15:57:30.000000,2017-11-21 00:40:17.770468,2017-11-21 00:40:17.770468
157,12,73,"If they don’t keep exercising their lips, he thought, their brains start working.",2017-10-24 22:30:44.000000,2017-11-21 00:40:17.779933,2017-11-21 00:40:17.779933
158,35,73,"Will you open up the exit hatch, please, computer?",2017-10-21 10:56:55.000000,2017-11-21 00:40:17.784856,2017-11-21 00:40:17.784856
159,1,73,I have no idea where this will lead us. But I have a definite feeling it will be a place both wonderful and strange.,2017-10-23 07:17:05.000000,2017-11-21 00:40:17.789848,2017-11-21 00:40:17.789848
160,4,73,"Shante, Shante, Shante",2017-10-27 06:25:50.000000,2017-11-21 00:40:17.794697,2017-11-21 00:40:17.794697
161,38,73,Don't Be Jealous Of My Boogie,2017-10-22 22:05:27.000000,2017-11-21 00:40:17.798653,2017-11-21 00:40:17.798653
162,38,74,Lip-Sync for Your Life,2017-11-17 16:14:28.000000,2017-11-21 00:40:17.808656,2017-11-21 00:40:17.808656
265,20,119,It has been a pleasure speaking to you.,2017-10-27 00:56:20.000000,2017-11-21 00:40:18.553879,2017-11-21 00:40:18.553879
163,42,74,There's only one life-form as intelligent as me within thirty parsecs of here and that's me.,2017-11-17 16:05:36.000000,2017-11-21 00:40:17.812818,2017-11-21 00:40:17.812818
164,42,74,if you’ve never been through a matter transference beam before you’ve probably lost some salt and protein. The beer you had should have cushioned your system a bit.,2017-11-20 03:51:23.000000,2017-11-21 00:40:17.816880,2017-11-21 00:40:17.816880
165,40,75,Extravaganza Eleganza,2017-10-20 00:57:33.000000,2017-11-21 00:40:17.825705,2017-11-21 00:40:17.825705
166,44,75,You sort of start thinking anything’s possible if you’ve got enough nerve.,2017-10-25 05:34:52.000000,2017-11-21 00:40:17.829552,2017-11-21 00:40:17.829552
167,14,76,"You know, this is — excuse me — a damn fine cup of coffee!",2017-10-07 21:03:22.000000,2017-11-21 00:40:17.838174,2017-11-21 00:40:17.838174
168,6,76,We’ve all got both light and dark inside us. What matters is the part we choose to act on. That’s who we really are.,2017-10-09 18:30:27.000000,2017-11-21 00:40:17.842675,2017-11-21 00:40:17.842675
169,3,76,Life? Don't talk to me about life.,2017-10-10 22:53:17.000000,2017-11-21 00:40:17.846571,2017-11-21 00:40:17.846571
170,48,78,I won't enjoy it.,2017-09-23 08:30:52.000000,2017-11-21 00:40:17.861208,2017-11-21 00:40:17.861208
171,4,78,Silence...I've made my decision,2017-10-01 00:05:50.000000,2017-11-21 00:40:17.865281,2017-11-21 00:40:17.865281
172,28,78,"Evolution? they said to themselves, Who needs it?",2017-09-23 05:06:42.000000,2017-11-21 00:40:17.869193,2017-11-21 00:40:17.869193
